Date	Open	High	Low	Close	AvgVol	AdjClose
02-Jan-03	8342.40	8869.30	7917.20	8053.80	2730400.00	8053.80
03-Feb-03	8053.70	8152.50	7629.00	7891.10	2454400.00	7891.10
03-Mar-03	7890.20	8522.20	7416.60	7992.10	2817800.00	7992.10
01-Apr-03	7992.80	8559.80	7979.70	8480.10	2562600.00	8480.10
01-May-03	8478.50	8868.30	8340.20	8850.30	2349100.00	8850.30
02-Jun-03	8851.50	9352.80	8851.50	8985.40	2481800.00	8985.40
01-Jul-03	8983.70	9361.40	8871.20	9233.80	2343300.00	9233.80
01-Aug-03	9232.70	9500.00	8997.10	9415.80	1887100.00	9415.80
02-Sep-03	9416.70	9686.10	9230.50	9275.10	2199300.00	9275.10
01-Oct-03	9276.80	9850.00	9276.80	9801.10	2171400.00	9801.10
03-Nov-03	9802.50	9903.60	9585.50	9782.50	1909300.00	9782.50
01-Dec-03	9785.40	10462.40	9785.40	10453.90	1993000.00	10453.90
02-Jan-04	10452.70	10705.20	10367.40	10488.10	2294700.00	10488.10
02-Feb-04	10487.80	10753.60	10434.70	10583.90	2135800.00	10583.90
01-Mar-04	10582.30	10695.60	10007.50	10357.70	2249500.00	10357.70
01-Apr-04	10357.50	10570.80	10219.20	10225.60	2260900.00	10225.60
03-May-04	10227.30	10386.30	9852.20	10188.50	2088100.00	10188.50
01-Jun-04	10187.20	10498.70	10134.90	10435.50	2066100.00	10435.50
01-Jul-04	10434.00	10448.10	9913.90	10139.70	2214000.00	10139.70
02-Aug-04	10138.50	10211.30	9783.90	10173.90	1766000.00	10173.90
01-Sep-04	10170.10	10363.40	9977.90	10080.30	2388300.00	10080.30
01-Oct-04	10082.00	10270.40	9708.40	10027.50	2645600.00	10027.50
01-Nov-04	10028.70	10602.90	10010.20	10428.00	2835000.00	10428.00
01-Dec-04	10425.80	10868.10	10418.60	10783.00	2675300.00	10783.00
03-Jan-05	10783.80	10867.40	10368.60	10489.90	2800000.00	10489.90
01-Feb-05	10489.70	10853.40	10489.60	10766.20	2803500.00	10766.20
01-Mar-05	10769.00	10984.50	10396.20	10503.80	2763300.00	10503.80
01-Apr-05	10504.60	10568.90	10000.50	10192.50	2930900.00	10192.50
02-May-05	10192.00	10560.80	10075.60	10467.50	2420800.00	10467.50
01-Jun-05	10462.90	10656.30	10253.50	10275.00	2420500.00	10275.00
01-Jul-05	10273.60	10717.70	10175.40	10640.90	2518200.00	10640.90
01-Aug-05	10641.80	10719.40	10349.40	10481.60	2330300.00	10481.60
01-Sep-05	10481.40	10701.80	10351.00	10568.70	2591600.00	10568.70
03-Oct-05	10569.50	10608.60	10156.50	10440.10	2928100.00	10440.10
01-Nov-05	10440.10	10959.80	10388.80	10805.90	2687300.00	10805.90
01-Dec-05	10806.00	10940.30	10709.40	10717.50	2578500.00	10717.50
03-Jan-06	10718.30	11047.80	10661.20	10864.90	3435000.00	10864.90
01-Feb-06	10862.10	11159.20	10737.70	10993.40	3202300.00	10993.40
01-Mar-06	10993.30	11335.00	10922.70	11109.30	3042200.00	11109.30
03-Apr-06	11113.00	11417.70	11039.10	11367.10	3327600.00	11367.10
01-May-06	11367.80	11670.20	11030.50	11168.30	3477800.00	11168.30
01-Jun-06	11169.00	11285.80	10698.90	11150.20	3316000.00	11150.20
03-Jul-06	11149.30	11257.10	10683.30	11185.70	2887400.00	11185.70
01-Aug-06	11184.80	11407.10	11042.60	11381.20	2076600.00	11381.20
01-Sep-06	11382.80	11742.00	11323.80	11679.10	2355400.00	11679.10
02-Oct-06	11679.00	12167.00	11653.10	12080.70	2631500.00	12080.70
01-Nov-06	12080.30	12361.00	11965.30	12221.90	2389400.00	12221.90
01-Dec-06	12221.00	12529.90	12090.00	12463.20	2249000.00	12463.20
03-Jan-07	12459.50	12657.00	12337.40	12621.70	2666900.00	12621.70
01-Feb-07	12617.20	12795.90	12086.10	12268.60	2505300.00	12268.60
01-Mar-07	12268.60	12511.10	11939.60	12354.40	2666700.00	12354.40
02-Apr-07	12354.50	13162.10	12324.30	13062.90	2541900.00	13062.90
01-May-07	13062.80	13673.10	13041.30	13627.60	2401500.00	13627.60
01-Jun-07	13628.70	13692.00	13251.50	13408.60	39000.00	13408.60
02-Jul-07	13409.60	14022.00	13199.80	13212.00	2777100.00	13212.00
01-Aug-07	13211.10	13695.80	12517.90	13357.70	2797400.00	13357.70
04-Sep-07	13358.40	13924.80	13021.90	13895.60	2384900.00	13895.60
01-Oct-07	13895.70	14198.10	13407.50	13930.00	2299300.00	13930.00
01-Nov-07	13924.20	13924.20	12724.10	13371.70	2996500.00	13371.70
03-Dec-07	13368.20	13780.10	13092.00	13264.80	2238700.00	13264.80
02-Jan-08	13261.80	13279.50	11634.80	12650.40	3740000.00	12650.40
01-Feb-08	12638.20	12767.70	12069.50	12266.40	3036100.00	12266.40
03-Mar-08	12264.40	12622.10	11731.60	12262.90	3251300.00	12262.90
01-Apr-08	12266.60	13010.00	12266.50	12820.10	2411700.00	12820.10
01-May-08	12818.30	13136.70	12442.60	12638.30	2257600.00	12638.30
02-Jun-08	12637.70	12638.10	11287.60	11350.00	2662900.00	11350.00
01-Jul-08	11344.60	11698.20	10827.70	11378.00	2623500.00	11378.00
01-Aug-08	11379.90	11867.10	11221.50	11544.00	1783300.00	11544.00
02-Sep-08	11545.60	11790.20	10365.50	10850.70	3153300.00	10850.70
01-Oct-08	10847.40	10882.50	7882.50	9325.00	3748900.00	9325.00
03-Nov-08	9326.00	9654.00	7449.40	8829.00	3378100.00	8829.00
01-Dec-08	8826.90	9026.40	8118.50	8776.40	2694800.00	8776.40
02-Jan-09	8772.30	9088.10	7909.00	8000.90	3282500.00	8000.90
02-Feb-09	8000.60	8315.10	7033.60	7062.90	4106400.00	7062.90
