pc1 pc2 quarter
-3.624627 0.9405236 1
-2.878194 0.8714822 2
-2.314584 0.7800565 3
-1.662068 0.9325525 4
-1.190649 1.008151 5
-1.219889 0.9731869 6
-1.233369 0.9545296 7
-0.8022513 0.9509007 8
-0.5423175 0.9313638 9
-0.6135998 0.960986 10
-0.2466977 1.000116 11
-0.1205254 0.9575456 12
0.3535652 0.9982538 13
0.5002281 1.007328 14
0.6482997 1.034848 15
1.389658 1.180678 16
1.544573 1.164907 17
2.317816 1.187037 18
2.389844 1.014028 19
2.502595 0.9231009 20
1.469371 0.6787397 21
1.48902 0.497858 22
0.5468649 0.1359345 23
-1.753814 -0.4235226 24
-3.00453 -1.117636 25
-2.346478 -1.436402 26
-1.491942 -1.468732 27
-0.897175 -1.624214 28
-0.6028106 -1.579695 29
-0.6109095 -1.579215 30
-0.4899065 -1.587666 31
0.2724379 -1.539981 32
1.010532 -1.155485 33
1.370228 -1.19097 34
0.5758104 -1.363526 35
1.060051 -1.24686 36
1.848257 -0.9725984 37
1.834136 -1.000285 38
2.259157 -0.9418065 39
2.263894 -0.8555135 40
