year	quarter	gdp																																					
2003	1	11230.8																																					
2003	2	11371.4																																					
2003	3	11628.4																																					
2003	4	11818.5																																					
2004	1	11991.4																																					
2004	2	12183.5																																					
2004	3	12369.4																																					
2004	4	12563.8																																					
2005	1	12816.2																																					
2005	2	12975.7																																					
2005	3	13206.5																																					
2005	4	13383.3																																					
2006	1	13649.8																																					
2006	2	13802.9																																					
2006	3	13910.5																																					
2006	4	14068.4																																					
2007	1	14235.0																																					
2007	2	14424.5																																					
2007	3	14571.9																																					
2007	4	14690.0																																					
2008	1	14672.9																																					
2008	2	14817.1																																					
2008	3	14844.3																																					
2008	4	14546.7																																					
2009	1	14381.2																																					
2009	2	14342.1																																					
2009	3	14384.4																																					
2009	4	14564.1																																					
2010	1	14672.5																																					
2010	2	14879.2																																					
2010	3	15049.8																																					
2010	4	15231.7																																					
2011	1	15242.9																																					
2011	2	15461.9																																					
2011	3	15611.8																																					
2011	4	15818.7																																					
2012	1	16041.6																																					
2012	2	16160.4																																					
2012	3	16356.0																																					
2012	4	16420.3																																					
