year	quarter	real_gdp
2003	1	11638.9
2003	2	11737.5
2003	3	11930.7
2003	4	12038.6
2004	1	12117.9
2004	2	12195.9
2004	3	12286.7
2004	4	12387.2
2005	1	12515.0
2005	2	12570.7
2005	3	12670.5
2005	4	12735.6
2006	1	12896.4
2006	2	12948.7
2006	3	12950.4
2006	4	13038.4
2007	1	13056.1
2007	2	13173.6
2007	3	13269.8
2007	4	13326.0
2008	1	13266.8
2008	2	13310.5
2008	3	13186.9
2008	4	12883.5
2009	1	12711.0
2009	2	12701.0
2009	3	12746.7
2009	4	12873.1
2010	1	12947.6
2010	2	13019.6
2010	3	13103.5
2010	4	13181.2
2011	1	13183.8
2011	2	13264.7
2011	3	13306.9
2011	4	13441.0
2012	1	13506.4
2012	2	13548.5
2012	3	13652.5
2012	4	13665.4
