year	month	rate
2003	1	5.8
2003	2	5.9
2003	3	5.9
2003	4	6.0
2003	5	6.1
2003	6	6.3
2003	7	6.2
2003	8	6.1
2003	9	6.1
2003	10	6.0
2003	11	5.8
2003	12	5.7
2004	1	5.7
2004	2	5.6
2004	3	5.8
2004	4	5.6
2004	5	5.6
2004	6	5.6
2004	7	5.5
2004	8	5.4
2004	9	5.4
2004	10	5.5
2004	11	5.4
2004	12	5.4
2005	1	5.3
2005	2	5.4
2005	3	5.2
2005	4	5.2
2005	5	5.1
2005	6	5.0
2005	7	5.0
2005	8	4.9
2005	9	5.0
2005	10	5.0
2005	11	5.0
2005	12	4.9
2006	1	4.7
2006	2	4.8
2006	3	4.7
2006	4	4.7
2006	5	4.6
2006	6	4.6
2006	7	4.7
2006	8	4.7
2006	9	4.5
2006	10	4.4
2006	11	4.5
2006	12	4.4
2007	1	4.6
2007	2	4.5
2007	3	4.4
2007	4	4.5
2007	5	4.4
2007	6	4.6
2007	7	4.7
2007	8	4.6
2007	9	4.7
2007	10	4.7
2007	11	4.7
2007	12	5.0
2008	1	5.0
2008	2	4.9
2008	3	5.1
2008	4	5.0
2008	5	5.4
2008	6	5.6
2008	7	5.8
2008	8	6.1
2008	9	6.1
2008	10	6.5
2008	11	6.8
2008	12	7.3
2009	1	7.8
2009	2	8.3
2009	3	8.7
2009	4	9.0
2009	5	9.4
2009	6	9.5
2009	7	9.5
2009	8	9.6
2009	9	9.8
2009	10	10.0
2009	11	9.9
2009	12	9.9
2010	1	9.7
2010	2	9.8
2010	3	9.9
2010	4	9.9
2010	5	9.6
2010	6	9.4
2010	7	9.5
2010	8	9.5
2010	9	9.5
2010	10	9.5
2010	11	9.8
2010	12	9.4
2011	1	9.1
2011	2	9.0
2011	3	9.0
2011	4	9.1
2011	5	9.0
2011	6	9.1
2011	7	9.0
2011	8	9.0
2011	9	9.0
2011	10	8.8
2011	11	8.6
2011	12	8.5
2012	1	8.2
2012	2	8.3
2012	3	8.2
2012	4	8.2
2012	5	8.2
2012	6	8.2
2012	7	8.2
2012	8	8.1
2012	9	7.8
2012	10	7.8
2012	11	7.8
2012	12	7.9
